iter	Passed	Remaining
0	2	202
1	3	170
2	5	163
3	6	149
4	7	151
5	9	148
6	10	143
7	12	140
8	13	136
9	16	144
10	17	141
11	18	137
12	20	136
13	22	136
14	23	133
15	24	129
16	25	126
17	27	123
18	28	121
19	29	119
20	31	117
21	32	114
22	33	112
23	35	110
24	36	109
25	37	106
26	38	104
27	39	102
28	41	101
29	42	100
30	44	99
31	45	97
32	47	95
33	48	93
34	49	92
35	50	90
36	52	88
37	53	86
38	54	85
39	55	83
40	57	82
41	57	79
42	59	78
43	60	76
44	61	75
45	62	73
46	63	72
47	65	70
48	66	69
49	67	67
50	68	65
51	69	63
52	70	62
53	71	61
54	72	59
55	73	58
56	74	56
57	75	54
58	76	53
59	77	51
60	79	50
61	80	49
62	81	47
63	82	46
64	83	44
65	84	43
66	85	42
67	86	40
68	87	39
69	88	37
70	89	36
71	91	35
72	92	34
73	93	32
74	94	31
75	95	30
76	96	28
77	98	27
78	99	26
79	100	25
80	101	23
81	102	22
82	103	21
83	105	20
84	106	18
85	107	17
86	108	16
87	109	14
88	110	13
89	111	12
90	113	11
91	114	9
92	115	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	121	0
